--- LOG FILE START ---

Timestamp: 2022-03-13 14:01:35.221209600
SessionID: 3627106287809831984
UserID: 1
BikeModel: BIKE27
Programme Type: lose weight
SoftwareVersion: 27


54.0   HeartRateRaw: 125.0   HeartRateReg: 60.0   Power: 11.0   Resistance: 40.0   RPM: 30.0
55.0   HeartRateRaw: 134.5   HeartRateReg: 60.0   Power: 11.0   Resistance: 40.0   RPM: 30.5
56.0   HeartRateRaw: 144.0   HeartRateReg: 60.0   Power: 11.0   Resistance: 40.0   RPM: 31.0
57.0   HeartRateRaw: 145.5   HeartRateReg: 60.5   Power: 11.0   Resistance: 40.0   RPM: 30.5
58.0   HeartRateRaw: 147.0   HeartRateReg: 61.0   Power: 11.0   Resistance: 40.0   RPM: 30.0
59.0   HeartRateRaw: 142.5   HeartRateReg: 61.0   Power: 11.5   Resistance: 40.0   RPM: 31.0
60.0   HeartRateRaw: 138.0   HeartRateReg: 61.0   Power: 12.0   Resistance: 40.0   RPM: 32.0
61.0   HeartRateRaw: 138.5   HeartRateReg: 61.5   Power: 12.0   Resistance: 40.0   RPM: 32.0
62.0   HeartRateRaw: 139.0   HeartRateReg: 62.0   Power: 12.0   Resistance: 40.0   RPM: 32.0
63.0   HeartRateRaw: 146.0   HeartRateReg: 66.0   Power: 11.0   Resistance: 40.0   RPM: 31.0
64.0   HeartRateRaw: 73.0   HeartRateReg: 66.0   Power: 11.5   Resistance: 40.0   RPM: 31.5
65.0   HeartRateRaw: 0.0   HeartRateReg: 66.0   Power: 12.0   Resistance: 40.0   RPM: 32.0
66.0   HeartRateRaw: 61.5   HeartRateReg: 66.0   Power: 12.0   Resistance: 40.0   RPM: 32.0
67.0   HeartRateRaw: 123.0   HeartRateReg: 66.0   Power: 12.0   Resistance: 40.0   RPM: 32.0
68.0   HeartRateRaw: 127.0   HeartRateReg: 64.0   Power: 12.0   Resistance: 40.0   RPM: 32.0
69.0   HeartRateRaw: 131.0   HeartRateReg: 62.0   Power: 12.0   Resistance: 40.0   RPM: 32.0
70.0   HeartRateRaw: 135.0   HeartRateReg: 63.0   Power: 12.5   Resistance: 40.0   RPM: 32.5
71.0   HeartRateRaw: 139.0   HeartRateReg: 64.0   Power: 13.0   Resistance: 40.0   RPM: 33.0
72.0   HeartRateRaw: 140.0   HeartRateReg: 61.0   Power: 26.0   Resistance: 40.0   RPM: 52.0
73.0   HeartRateRaw: 138.5   HeartRateReg: 60.5   Power: 34.5   Resistance: 40.0   RPM: 63.0
74.0   HeartRateRaw: 137.0   HeartRateReg: 60.0   Power: 43.0   Resistance: 40.0   RPM: 74.0
75.0   HeartRateRaw: 138.0   HeartRateReg: 60.5   Power: 49.0   Resistance: 40.0   RPM: 80.0
76.0   HeartRateRaw: 139.0   HeartRateReg: 61.0   Power: 55.0   Resistance: 40.0   RPM: 86.0
77.0   HeartRateRaw: 167.5   HeartRateReg: 61.0   Power: 148.0   Resistance: 50.0   RPM: 113.0
78.0   HeartRateRaw: 196.0   HeartRateReg: 61.0   Power: 241.0   Resistance: 60.0   RPM: 140.0
79.0   HeartRateRaw: 125.0   HeartRateReg: 62.5   Power: 540.0   Resistance: 115.0   RPM: 130.5
80.0   HeartRateRaw: 54.0   HeartRateReg: 64.0   Power: 839.0   Resistance: 170.0   RPM: 121.0
81.0   HeartRateRaw: 257.0   HeartRateReg: 64.0   Power: 715.0   Resistance: 170.0   RPM: 107.0
82.0   HeartRateRaw: 211.5   HeartRateReg: 65.0   Power: 673.0   Resistance: 170.0   RPM: 102.5
83.0   HeartRateRaw: 166.0   HeartRateReg: 66.0   Power: 631.0   Resistance: 170.0   RPM: 98.0
84.0   HeartRateRaw: 176.5   HeartRateReg: 68.0   Power: 608.0   Resistance: 170.0   RPM: 95.5
85.0   HeartRateRaw: 187.0   HeartRateReg: 70.0   Power: 585.0   Resistance: 170.0   RPM: 93.0
86.0   HeartRateRaw: 191.0   HeartRateReg: 70.5   Power: 566.5   Resistance: 170.0   RPM: 91.0
87.0   HeartRateRaw: 195.0   HeartRateReg: 71.0   Power: 548.0   Resistance: 170.0   RPM: 89.0
88.0   HeartRateRaw: 222.0   HeartRateReg: 71.5   Power: 520.5   Resistance: 170.0   RPM: 86.0
89.0   HeartRateRaw: 249.0   HeartRateReg: 72.0   Power: 493.0   Resistance: 170.0   RPM: 83.0
90.0   HeartRateRaw: 174.0   HeartRateReg: 73.0   Power: 461.0   Resistance: 170.0   RPM: 80.0
91.0   HeartRateRaw: 205.5   HeartRateReg: 73.0   Power: 450.5   Resistance: 170.0   RPM: 78.5
92.0   HeartRateRaw: 237.0   HeartRateReg: 73.0   Power: 440.0   Resistance: 170.0   RPM: 77.0
93.0   HeartRateRaw: 233.5   HeartRateReg: 74.0   Power: 425.0   Resistance: 170.0   RPM: 75.5
94.0   HeartRateRaw: 230.0   HeartRateReg: 75.0   Power: 410.0   Resistance: 170.0   RPM: 74.0
95.0   HeartRateRaw: 193.5   HeartRateReg: 75.5   Power: 264.0   Resistance: 135.0   RPM: 68.5
96.0   HeartRateRaw: 157.0   HeartRateReg: 76.0   Power: 118.0   Resistance: 100.0   RPM: 63.0
97.0   HeartRateRaw: 111.0   HeartRateReg: 76.5   Power: 68.5   Resistance: 70.0   RPM: 53.0
98.0   HeartRateRaw: 65.0   HeartRateReg: 77.0   Power: 19.0   Resistance: 40.0   RPM: 43.0
99.0   HeartRateRaw: 75.0   HeartRateReg: 76.0   Power: 16.0   Resistance: 40.0   RPM: 39.0
100.0   HeartRateRaw: 103.0   HeartRateReg: 75.5   Power: 15.5   Resistance: 40.0   RPM: 39.0
101.0   HeartRateRaw: 131.0   HeartRateReg: 75.0   Power: 15.0   Resistance: 40.0   RPM: 39.0
102.0   HeartRateRaw: 120.5   HeartRateReg: 75.0   Power: 14.5   Resistance: 40.0   RPM: 37.5
103.0   HeartRateRaw: 110.0   HeartRateReg: 75.0   Power: 14.0   Resistance: 40.0   RPM: 36.0
104.0   HeartRateRaw: 111.0   HeartRateReg: 75.5   Power: 14.0   Resistance: 40.0   RPM: 36.0
105.0   HeartRateRaw: 112.0   HeartRateReg: 76.0   Power: 14.0   Resistance: 40.0   RPM: 36.0
106.0   HeartRateRaw: 145.5   HeartRateReg: 76.0   Power: 14.0   Resistance: 40.0   RPM: 36.5
107.0   HeartRateRaw: 179.0   HeartRateReg: 76.0   Power: 14.0   Resistance: 40.0   RPM: 37.0
108.0   HeartRateRaw: 72.0   HeartRateReg: 77.0   Power: 16.0   Resistance: 40.0   RPM: 39.0
109.0   HeartRateRaw: 140.0   HeartRateReg: 77.0   Power: 15.5   Resistance: 40.0   RPM: 38.5
110.0   HeartRateRaw: 208.0   HeartRateReg: 77.0   Power: 15.0   Resistance: 40.0   RPM: 38.0
111.0   HeartRateRaw: 153.5   HeartRateReg: 76.5   Power: 15.5   Resistance: 40.0   RPM: 38.5
112.0   HeartRateRaw: 99.0   HeartRateReg: 76.0   Power: 16.0   Resistance: 40.0   RPM: 39.0
113.0   HeartRateRaw: 131.0   HeartRateReg: 75.5   Power: 15.5   Resistance: 40.0   RPM: 39.0
114.0   HeartRateRaw: 163.0   HeartRateReg: 75.0   Power: 15.0   Resistance: 40.0   RPM: 39.0
115.0   HeartRateRaw: 159.5   HeartRateReg: 74.5   Power: 15.0   Resistance: 40.0   RPM: 39.0
116.0   HeartRateRaw: 156.0   HeartRateReg: 74.0   Power: 15.0   Resistance: 40.0   RPM: 39.0
117.0   HeartRateRaw: 112.0   HeartRateReg: 72.0   Power: 15.0   Resistance: 40.0   RPM: 39.0
118.0   HeartRateRaw: 83.0   HeartRateReg: 71.5   Power: 15.0   Resistance: 40.0   RPM: 39.0
119.0   HeartRateRaw: 54.0   HeartRateReg: 71.0   Power: 15.0   Resistance: 40.0   RPM: 39.0
120.0   HeartRateRaw: 99.5   HeartRateReg: 70.5   Power: 15.0   Resistance: 40.0   RPM: 38.5
121.0   HeartRateRaw: 145.0   HeartRateReg: 70.0   Power: 15.0   Resistance: 40.0   RPM: 38.0
122.0   HeartRateRaw: 145.5   HeartRateReg: 69.0   Power: 14.5   Resistance: 40.0   RPM: 38.0
123.0   HeartRateRaw: 146.0   HeartRateReg: 68.0   Power: 14.0   Resistance: 40.0   RPM: 38.0
124.0   HeartRateRaw: 145.5   HeartRateReg: 67.5   Power: 14.0   Resistance: 40.0   RPM: 37.5
125.0   HeartRateRaw: 145.0   HeartRateReg: 67.0   Power: 14.0   Resistance: 40.0   RPM: 37.0
126.0   HeartRateRaw: 83.0   HeartRateReg: 66.0   Power: 13.0   Resistance: 40.0   RPM: 36.0
127.0   HeartRateRaw: 104.0   HeartRateReg: 65.0   Power: 13.0   Resistance: 40.0   RPM: 36.0
128.0   HeartRateRaw: 125.0   HeartRateReg: 64.0   Power: 13.0   Resistance: 40.0   RPM: 36.0
129.0   HeartRateRaw: 98.0   HeartRateReg: 63.0   Power: 13.0   Resistance: 40.0   RPM: 36.0
130.0   HeartRateRaw: 71.0   HeartRateReg: 62.0   Power: 13.0   Resistance: 40.0   RPM: 36.0
131.0   HeartRateRaw: 101.0   HeartRateReg: 61.5   Power: 13.0   Resistance: 40.0   RPM: 36.5
132.0   HeartRateRaw: 131.0   HeartRateReg: 61.0   Power: 13.0   Resistance: 40.0   RPM: 37.0
133.0   HeartRateRaw: 130.0   HeartRateReg: 60.5   Power: 13.5   Resistance: 40.0   RPM: 37.0
134.0   HeartRateRaw: 129.0   HeartRateReg: 60.0   Power: 14.0   Resistance: 40.0   RPM: 37.0
135.0   HeartRateRaw: 126.0   HeartRateReg: 59.0   Power: 13.0   Resistance: 40.0   RPM: 36.0
136.0   HeartRateRaw: 125.0   HeartRateReg: 58.5   Power: 13.0   Resistance: 40.0   RPM: 36.0
137.0   HeartRateRaw: 124.0   HeartRateReg: 58.0   Power: 13.0   Resistance: 40.0   RPM: 36.0
138.0   HeartRateRaw: 95.5   HeartRateReg: 57.0   Power: 13.0   Resistance: 40.0   RPM: 35.5
139.0   HeartRateRaw: 67.0   HeartRateReg: 56.0   Power: 13.0   Resistance: 40.0   RPM: 35.0
140.0   HeartRateRaw: 83.5   HeartRateReg: 55.5   Power: 13.0   Resistance: 40.0   RPM: 35.5
141.0   HeartRateRaw: 100.0   HeartRateReg: 55.0   Power: 13.0   Resistance: 40.0   RPM: 36.0
142.0   HeartRateRaw: 109.0   HeartRateReg: 54.5   Power: 13.0   Resistance: 40.0   RPM: 36.0
143.0   HeartRateRaw: 118.0   HeartRateReg: 54.0   Power: 13.0   Resistance: 40.0   RPM: 36.0
144.0   HeartRateRaw: 119.0   HeartRateReg: 53.0   Power: 13.0   Resistance: 40.0   RPM: 36.0
145.0   HeartRateRaw: 102.5   HeartRateReg: 52.5   Power: 13.0   Resistance: 40.0   RPM: 36.0
146.0   HeartRateRaw: 86.0   HeartRateReg: 52.0   Power: 13.0   Resistance: 40.0   RPM: 36.0
147.0   HeartRateRaw: 66.0   HeartRateReg: 52.0   Power: 12.5   Resistance: 40.0   RPM: 35.5
148.0   HeartRateRaw: 46.0   HeartRateReg: 52.0   Power: 12.0   Resistance: 40.0   RPM: 35.0
149.0   HeartRateRaw: 50.0   HeartRateReg: 51.5   Power: 12.0   Resistance: 40.0   RPM: 34.5
150.0   HeartRateRaw: 54.0   HeartRateReg: 51.0   Power: 12.0   Resistance: 40.0   RPM: 34.0
151.0   HeartRateRaw: 47.0   HeartRateReg: 50.0   Power: 12.0   Resistance: 40.0   RPM: 34.5
152.0   HeartRateRaw: 40.0   HeartRateReg: 49.0   Power: 12.0   Resistance: 40.0   RPM: 35.0
153.0   HeartRateRaw: 41.0   HeartRateReg: 49.0   Power: 12.0   Resistance: 40.0   RPM: 35.0
154.0   HeartRateRaw: 44.5   HeartRateReg: 48.5   Power: 12.0   Resistance: 40.0   RPM: 35.0
155.0   HeartRateRaw: 48.0   HeartRateReg: 48.0   Power: 12.0   Resistance: 40.0   RPM: 35.0
156.0   HeartRateRaw: 49.0   HeartRateReg: 47.5   Power: 12.0   Resistance: 40.0   RPM: 34.5
157.0   HeartRateRaw: 50.0   HeartRateReg: 47.0   Power: 12.0   Resistance: 40.0   RPM: 34.0
158.0   HeartRateRaw: 62.0   HeartRateReg: 46.5   Power: 11.5   Resistance: 40.0   RPM: 34.0
159.0   HeartRateRaw: 74.0   HeartRateReg: 46.0   Power: 11.0   Resistance: 40.0   RPM: 34.0
160.0   HeartRateRaw: 84.0   HeartRateReg: 45.5   Power: 11.0   Resistance: 40.0   RPM: 34.0
161.0   HeartRateRaw: 94.0   HeartRateReg: 45.0   Power: 11.0   Resistance: 40.0   RPM: 34.0
162.0   HeartRateRaw: 93.0   HeartRateReg: 44.0   Power: 12.0   Resistance: 40.0   RPM: 35.0
163.0   HeartRateRaw: 93.0   HeartRateReg: 43.5   Power: 12.0   Resistance: 40.0   RPM: 35.0
164.0   HeartRateRaw: 93.0   HeartRateReg: 43.0   Power: 12.0   Resistance: 40.0   RPM: 35.0
165.0   HeartRateRaw: 92.5   HeartRateReg: 43.0   Power: 12.0   Resistance: 40.0   RPM: 35.0
166.0   HeartRateRaw: 92.0   HeartRateReg: 43.0   Power: 12.0   Resistance: 40.0   RPM: 35.0
167.0   HeartRateRaw: 91.0   HeartRateReg: 42.5   Power: 12.0   Resistance: 40.0   RPM: 35.0
168.0   HeartRateRaw: 90.0   HeartRateReg: 42.0   Power: 12.0   Resistance: 40.0   RPM: 35.0
169.0   HeartRateRaw: 89.5   HeartRateReg: 41.5   Power: 12.0   Resistance: 40.0   RPM: 35.0
170.0   HeartRateRaw: 89.0   HeartRateReg: 41.0   Power: 12.0   Resistance: 40.0   RPM: 35.0
171.0   HeartRateRaw: 5.0   HeartRateReg: 40.0   Power: 11.0   Resistance: 40.0   RPM: 34.0
172.0   HeartRateRaw: 2.5   HeartRateReg: 40.0   Power: 11.0   Resistance: 40.0   RPM: 33.5
173.0   HeartRateRaw: 0.0   HeartRateReg: 40.0   Power: 11.0   Resistance: 40.0   RPM: 33.0
174.0   HeartRateRaw: 0.0   HeartRateReg: 39.5   Power: 11.0   Resistance: 40.0   RPM: 33.0
175.0   HeartRateRaw: 0.0   HeartRateReg: 39.0   Power: 11.0   Resistance: 40.0   RPM: 33.0
176.0   HeartRateRaw: 41.0   HeartRateReg: 39.0   Power: 11.0   Resistance: 40.0   RPM: 33.5
177.0   HeartRateRaw: 82.0   HeartRateReg: 39.0   Power: 11.0   Resistance: 40.0   RPM: 34.0
178.0   HeartRateRaw: 81.5   HeartRateReg: 38.5   Power: 11.0   Resistance: 40.0   RPM: 33.5
179.0   HeartRateRaw: 81.0   HeartRateReg: 38.0   Power: 11.0   Resistance: 40.0   RPM: 33.0
180.0   HeartRateRaw: 79.0   HeartRateReg: 37.0   Power: 10.0   Resistance: 40.0   RPM: 33.0
181.0   HeartRateRaw: 78.5   HeartRateReg: 37.0   Power: 10.5   Resistance: 40.0   RPM: 33.5
182.0   HeartRateRaw: 78.0   HeartRateReg: 37.0   Power: 11.0   Resistance: 40.0   RPM: 34.0
183.0   HeartRateRaw: 71.0   HeartRateReg: 36.5   Power: 11.0   Resistance: 40.0   RPM: 34.0
184.0   HeartRateRaw: 64.0   HeartRateReg: 36.0   Power: 11.0   Resistance: 40.0   RPM: 34.0
185.0   HeartRateRaw: 53.0   HeartRateReg: 36.0   Power: 11.0   Resistance: 40.0   RPM: 34.0
186.0   HeartRateRaw: 42.0   HeartRateReg: 36.0   Power: 11.0   Resistance: 40.0   RPM: 34.0
187.0   HeartRateRaw: 49.5   HeartRateReg: 35.5   Power: 11.0   Resistance: 40.0   RPM: 34.0
188.0   HeartRateRaw: 57.0   HeartRateReg: 35.0   Power: 11.0   Resistance: 40.0   RPM: 34.0
